nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah target kasus tb,jumlah penderita tb,jumlah_penduduk_wni_wna,jumlah_kepadatan,Garis Kemiskinan (rupiah/kapita/bulan),Jumlah Penduduk Miskin (ribu),Persentase Penduduk Miskin,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus
JAKARTA BARAT,KEBON JERUK,KEBON JERUK,5743,1381,"69,159","17,860",20873.30371,3.905775696,0.146927914,2,
JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,4117,990,"49,576","32,182",19291.69028,3.609826986,0.135794882,,
JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,4392,1056,"47,941","35,244",23923.50437,4.476523851,0.168398383,1,
JAKARTA BARAT,KEBON JERUK,KELAPA DUA,2745,660,"29,963","22,016",17831.01489,3.33650799,0.125513137,,
JAKARTA BARAT,KEBON JERUK,DURI KEPA,7725,1858,"74,374","20,088",22009.21713,4.118325806,0.154923649,,2
JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,5952,1431,"57,300","19,480",10311.7579,1.929517911,0.072584824,1,
JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,4638,1115,"40,526","15,627",12416.30593,2.323317218,0.087398811,2,1
JAKARTA BARAT,KALI DERES,KALIDERES,10656,2563,"93,103","18,037",1121.220004,0.209800705,0.007892307,2,
JAKARTA BARAT,KALI DERES,SEMANAN,11692,2812,"93,296","17,620",4286.707392,0.80212111,0.030174283,,
JAKARTA BARAT,KALI DERES,TEGAL ALUR,13588,3268,"108,427","14,245",6607.135484,1.236315513,0.046507858,,
JAKARTA BARAT,KALI DERES,KAMAL,9856,2370,"71,576","22,793",1232.362443,0.230597482,0.008674642,,
JAKARTA BARAT,KALI DERES,PEGADUNGAN,13517,3251,"98,166","12,944",2527.64281,0.472968055,0.017792166,2,
JAKARTA BARAT,PALMERAH,PALMERAH,12200,2934,"78,790","35,473",1259.865488,0.235743803,0.008868237,1,
JAKARTA BARAT,PALMERAH,SLIPI,3204,770,"20,690","20,878",2572.099786,0.481286766,0.0181051,2,
JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,6125,1473,"31,790","46,055",5266.267879,0.985414737,0.037069444,,1
JAKARTA BARAT,PALMERAH,JATI PULO,6929,1666,"35,961","43,308",18426.28627,3.447894117,0.129703273,,
JAKARTA BARAT,PALMERAH,KEMANGGISAN,12380,2977,"39,352","18,548",15981.15259,2.990365025,0.112491892,,
JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,8971,2157,"28,517","48,303",9341.616259,1.747986722,0.065755963,,1
JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,41808,10055,"69,998","16,500",20019.57907,3.746028251,0.140918517,,
JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,33402,8033,"55,924","13,033",10011.10818,1.873260867,0.07046854,1,
JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,41749,10040,"42,150","13,127",13113.67764,2.453808181,0.092307635,,
JAKARTA BARAT,KEMBANGAN,SRENGSENG,58025,13955,"58,583","12,753",10124.13439,1.894410131,0.071264136,,
JAKARTA BARAT,KEMBANGAN,JOGLO,123030,29588,"52,555","11,471",4895.918665,0.916115647,0.034462543,,
JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,80504,19360,"34,389","7,510",30567.56175,5.719748124,0.215166136,1,
